Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,Method 1 diff.,Accu. 1,Method 2 diff.,Accu. 2
48,0.012827128,0.012597728,0.042616914,0.043001759,55.01929855,55.14662933,,,,0.010647025,0.011065525,0.040067366,0.039889183,33.76841065,33.68643996,,,,-0.12733078,-1.026643753,0.081970692,13.18930721
49,0.011724635,0.011979373,0.047769291,0.047907962,60.42721558,60.51271439,,,,0.01073785,0.010878363,0.048402008,0.048311336,54.52046186,54.37754458,,,,-0.08549881,-1.112142563,0.142917275,13.33222449
50,0.011124544,0.011019201,0.03517867,0.035205767,29.35894394,29.30230522,,,,0.011136249,0.010736872,0.037994741,0.037697627,31.26214348,31.21331385,,,,0.056638718,-1.055503845,0.04882963,13.38105412
51,0.011105845,0.011008309,0.047143989,0.047249092,48.20631409,48.2405014,,,,0.010782082,0.010588394,0.046748043,0.046790128,65.72025126,66.12871259,,,,-0.034187317,-1.089691162,-0.408461332,12.97259279
52,0.011896496,0.011203229,0.043193724,0.04352518,56.83934021,56.9902916,,,,0.010563895,0.010723298,0.034205276,0.033892575,26.46508628,26.22694314,,,,-0.150951385,-1.240642548,0.238143146,13.21073593
53,0.011267201,0.011604751,0.044662499,0.044845331,44.49406052,44.55036926,,,,0.010840388,0.010722123,0.049236403,0.048985474,48.67534536,48.60828459,,,,-0.056308746,-1.296951294,0.067060769,13.2777967
54,0.011448902,0.011029923,0.050502494,0.050650313,60.16318893,60.24313354,,,,0.010661094,0.010704391,0.047338476,0.04751659,46.13329849,45.96471694,,,,-0.079944611,-1.376895905,0.168581545,13.44637825
55,0.011573941,0.011148752,0.03719028,0.037313128,29.94124031,29.86833954,,,,0.011586997,0.011919213,0.054197169,0.054209407,71.87568182,70.31923747,,,,0.072900772,-1.303995132,1.556444347,15.00282259
56,0.011393767,0.011170338,0.043935626,0.044257795,38.32182693,38.48469925,,,,0.014585142,0.012839327,0.047404335,0.046941879,59.10666686,59.12423408,,,,-0.162872314,-1.466867447,-0.017567217,14.98525538
57,0.011005766,0.010825246,0.049183281,0.049400391,60.57948303,60.78590012,,,,0.01193924,0.011583086,0.035123603,0.034554136,31.52463664,31.16011077,,,,-0.206417084,-1.673284531,0.364525869,15.34978124
58,0.010854713,0.01092918,0.043067692,0.043087276,34.27792358,34.25634003,,,,0.011360509,0.011151647,0.040790538,0.039873997,41.60497132,41.76602468,,,,0.021583557,-1.651700974,-0.16105336,15.18872789
59,0.011018591,0.010792547,0.050544864,0.050719748,60.56908417,60.81056595,,,,0.011696666,0.011033218,0.042247856,0.042472886,55.73052728,55.76385301,,,,-0.241481781,-1.893182755,-0.033325732,15.15540215
60,0.011210727,0.010867565,0.05690095,0.05681731,66.08518982,64.9495163,,,,0.011891315,0.011158494,0.055393002,0.05584918,76.15449077,74.92891026,,,,1.135673523,-0.757509232,1.225580513,16.38098267
61,0.01066727,0.010560797,0.052243141,0.052403269,63.97915268,63.04828644,,,,0.011068716,0.011075197,0.033921641,0.033732564,26.9724723,26.95404975,,,,0.930866241,0.17335701,0.018422544,16.39940521
